company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised,Domain Name,,
Nova Benefits,Bengaluru,Healthcare,0,0.3,6/28/2022,Series B,India,41,Web Development,,
Udaan,Bengaluru,Retail,54,0.04,6/27/2022,Unknown,India,1500,Web Development,,
SuperLearn,Bengaluru,Education,0,1,6/21/2022,Seed,India,0,Web Development,,
Aqgromalin,Chennai,Food,24,0.3,6/20/2022,Unknown,India,12,Web Development,,
CityMall,Gurugram,Retail,57,0.3,6/19/2022,Series C,India,112,Web Development,,
Unacademy,Bengaluru,Education,45,0.03,6/18/2022,Series H,India,838,Web Development,,
PharmEasy,Mumbai,Healthcare,12,,6/16/2022,Unknown,India,1600,Web Development,,
Breathe,New Delhi,Healthcare,15,0.33,6/14/2022,Series A,India,6,Web Development,,
FarEye,New Delhi,Logistics,75,0.3,6/10/2022,Series E,India,150,Web Development,,
Rupeek,Bengaluru,Finance,54,0.15,6/7/2022,Unknown,India,172,Web Development,,
Eruditus,Mumbai,Education,12,,6/4/2022,Series E,India,1200,Web Development,,
Yojak,Gurugram,Construction,42,0.5,6/2/2022,Seed,India,3,Web Development,,
Udayy,Gurugram,Education,30,1,6/1/2022,Seed,India,2,Web Development,,
Mobile Premier League,Bengaluru,Consumer,30,0.1,5/30/2022,Series E,India,375,Web Development,,
FrontRow,Bengaluru,Education,43,0.3,5/27/2022,Series A,India,17,Web Development,,
Daloopa,New Delhi,Data,12,,5/27/2022,Series A,India,23,Web Development,,
MFine,Bengaluru,Healthcare,180,0.75,5/21/2022,Series C,India,97,Web Development,,
Cars24,Gurugram,Transportation,180,0.06,5/19/2022,Series G,India,1300,Web Development,,
Vedantu,Bengaluru,Education,127,0.07,5/18/2022,Series E,India,292,Web Development,,
Vedantu,Bengaluru,Education,60,0.03,5/5/2022,Series E,India,292,Web Development,,
Meesho,Bengaluru,Retail,45,,4/11/2022,Series F,India,1100,Web Development,,
Unacademy,Bengaluru,Education,300,0.17,4/7/2022,Series H,India,838,Web Development,,
Sea,Bengaluru,Retail,105,,3/30/2022,Post-IPO,India,8600,Web Development,,
Furlenco,Bengaluru,Retail,54,,3/26/2022,Series D,India,228,Web Development,,
Trell,Bengaluru,Retail,90,0.5,3/15/2022,Series B,India,62,Web Development,,
OKCredit,New Delhi,Finance,9,,2/24/2022,Series B,India,85,Web Development,,
Lido,Mumbai,Education,45,,2/21/2022,Series A,India,24,Web Development,,
Pagarbook,Bengaluru,HR,24,,7/26/2021,Series A,India,17,Web Development,,
Ninjacart,Bengaluru,Food,60,,2/23/2021,Unknown,India,194,Web Development,,
Bounce,Bengaluru,Transportation,60,0.4,2/22/2021,Series D,India,214.2,Web Development,,
Bytedance,Mumbai,Consumer,540,,1/27/2021,Unknown,India,7400,Web Development,,
WhiteHat Jr,Mumbai,Education,540,,1/6/2021,Acquired,India,11,Web Development,,
OYO,Gurugram,Travel,180,,12/8/2020,Series F,India,3200,Web Development,,
OLX India,New Delhi,Marketing,75,,10/10/2020,Acquired,India,28,Web Development,,
MakeMyTrip,New Delhi,Travel,105,0.1,8/31/2020,Post-IPO,India,548,Web Development,,
Swiggy,Bengaluru,Food,105,0.05,7/27/2020,Series I,India,1600,Web Development,,
Curefit,Bengaluru,Fitness,36,,7/17/2020,Series D,India,404.6,Web Development,,
Bizongo,Mumbai,Logistics,42,,7/10/2020,Series C,India,70,Web Development,,
PaySense,Mumbai,Finance,12,,7/9/2020,Acquired,India,25.6,Web Development,,
Bounce,Bengaluru,Transportation,39,0.22,6/29/2020,Series D,India,214.2,Web Development,,
Navi,Bengaluru,Finance,12,0.25,6/17/2020,Private Equity,India,582,Web Development,,
PaisaBazaar,Gurugram,Finance,450,0.5,6/16/2020,Series G,India,496,Web Development,,
MakeMyTrip,Gurugram,Travel,105,0.1,6/1/2020,Post-IPO,India,548,Web Development,,
BookMyShow,Mumbai,Consumer,81,0.18,5/28/2020,Unknown,India,224,Web Development,,
Uber,Bengaluru,Transportation,180,0.23,5/26/2020,Post-IPO,India,24700,Web Development,,
CarDekho,Gurugram,Transportation,60,,5/25/2020,Series D,India,247,Web Development,,
PickYourTrail,Chennai,Travel,21,0.35,5/21/2020,Series A,India,3,Web Development,,
Ola,Bengaluru,Transportation,420,0.35,5/20/2020,Series J,India,3800,Web Development,,
ShareChat,Bengaluru,Marketing,30.3,0.25,5/20/2020,Series D,India,222,Web Development,,
Livspace,Bengaluru,Retail,135,0.15,5/19/2020,Series D,India,157,Web Development,,
Swiggy,Bengaluru,Food,330,0.14,5/18/2020,Series I,India,1600,Web Development,,
WeWork,New Delhi,Real Estate,30,0.2,5/18/2020,Series H,India,19500,Web Development,,
Magicbricks,Noida,Real Estate,75,,5/17/2020,Unknown,India,300,Web Development,,
Zomato,Gurugram,Food,156,0.13,5/15/2020,Series J,India,914,Web Development,,
Lendingkart,Ahmedabad,Finance,150,0.5,5/15/2020,Unknown,India,200,Web Development,,
CureFit,Bengaluru,Fitness,240,0.16,5/4/2020,Series D,India,404,Web Development,,
Flynote,Bengaluru,Travel,0,,5/1/2020,Seed,India,1,Web Development,,
Swiggy,Bengaluru,Food,240,,4/21/2020,Series I,India,1600,Web Development,,
Paytm,New Delhi,Finance,150,,4/21/2020,Unknown,India,2200,Web Development,,
BlackBuck,Bengaluru,Logistics,60,,4/17/2020,Series D,India,293,Web Development,,
CleverTap,Mumbai,Marketing,18,0.2,4/16/2020,Series C,India,76,Web Development,,
Shop101,Mumbai,Retail,60,0.4,4/15/2020,Series C,India,19,Web Development,,
Meesho,Bengaluru,Retail,60,0.28,4/8/2020,Series D,India,215,Web Development,,
Shuttl,New Delhi,Transportation,12,,4/2/2020,Series C,India,122,Web Development,,
Instamojo,Bengaluru,Finance,1.8,0.06,4/2/2020,Unknown,India,8,Web Development,,
Capillary,Bengaluru,Retail,0,,4/2/2020,Private Equity,India,102,Web Development,,
Acko,Mumbai,Finance,13,0.09,4/1/2020,Unknown,India,143,Web Development,,
FabHotels,New Delhi,Travel,24,0.2,3/30/2020,Series B,India,48,Web Development,,
TravelTriangle,Gurugram,Travel,75,0.5,3/28/2020,Series D,India,47,Web Development,,
Fareportal,Gurugram,Travel,60,,3/26/2020,Unknown,India,,Web Development,,
Bounce,Bengaluru,Transportation,36,,3/19/2020,Series D,India,214,Web Development,,
