Date,Layoffs
03-2020,36
03-2020,61
03-2020,75
03-2020,24
04-2020,13
04-2020,12
04-2020,2
04-2020,1
04-2020,61
04-2020,61
04-2020,18
04-2020,61
04-2020,241
04-2020,151
05-2020,1
05-2020,241
05-2020,156
05-2020,151
05-2020,75
05-2020,331
05-2020,31
05-2020,135
05-2020,421
05-2020,31.3
05-2020,21
05-2020,61
05-2020,181
05-2020,81
06-2020,115
06-2020,451
06-2020,12
06-2020,39
07-2020,12
07-2020,42
07-2020,36
07-2020,115
08-2020,115
10-2020,75
12-2020,181
01-2021,541
01-2021,541
02-2021,61
02-2021,61
07-2021,24
02-2022,45
02-2022,9
03-2022,91
03-2022,54
03-2022,115
04-2022,311
04-2022,45
05-2022,61
05-2022,127
05-2022,181
05-2022,181
05-2022,43
05-2022,12
05-2022,31
06-2022,31
06-2022,42
06-2022,12
06-2022,54
06-2022,75
06-2022,15
06-2022,12
06-2022,45
06-2022,57
06-2022,24
06-2022,1
06-2022,54
06-2022,91
06-2022,1
06-2022,115
06-2022,12
06-2022,51
07-2022,45
07-2022,31
07-2022,1
07-2022,311
08-2022,1
08-2022,31
08-2022,1
08-2022,24
08-2022,1
08-2022,91
08-2022,12
09-2022,15
09-2022,1
09-2022,57
09-2022,61
10-2022,18
10-2022,751
10-2022,39
10-2022,1
10-2022,9
10-2022,1
10-2022,7
11-2022,115
11-2022,1
11-2022,115
11-2022,11
11-2022,8
11-2022,31
11-2022,45
11-2022,61
11-2022,13
12-2022,31
12-2022,181
12-2022,45
12-2022,115
12-2022,75
12-2022,1
01-2023,18
01-2023,7
01-2023,12
01-2023,18
01-2023,12
01-2023,24
01-2023,33
01-2023,31
01-2023,61
01-2023,36
01-2023,12
01-2023,1
01-2023,151
01-2023,22
01-2023,1
01-2023,1
01-2023,41
01-2023,1
01-2023,114
01-2023,61
01-2023,15
01-2023,1
01-2023,31
02-2023,451
02-2023,27
02-2023,15
02-2023,1
02-2023,12
02-2023,1
02-2023,61
02-2023,31
